tweets,sentiments,clean_tweet_wordlist,clean_tweet_sentence
@diongzons  follow @jnlazts &amp; http://t.co/rcvcyyo0iq follow u back :),1.0,['follow'],follow
i'm breaking out but what's new :-),1.0,"[""i'm"", 'break', ""what'"", 'new', ':-)']",i'm break what' new :-)
@jaimestein @nicolevanzanten @amberturnau woot!! cool peeps :),1.0,"['woot', 'cool', 'peep', ':)']",woot cool peep :)
hey tweeps join #flipkartfashionfriday and folow @bhaktisbanter and win 2k :),1.0,"['hey', 'tweep', 'join', 'flipkartfashionfriday', 'folow', 'win', '2k', ':)']",hey tweep join flipkartfashionfriday folow win 2k :)
"@kassi_grace ohhh, got it :p",1.0,"['ohhh', 'got', ':p']",ohhh got :p
"here's a teaser of the upcoming airecs 009 release ""acid mouse ep"" out 31st of august, including red robin &amp; rough control remixes :))",1.0,"[""here'"", 'teaser', 'upcom', 'airec', '009', 'releas', 'acid', 'mous', 'ep', '31st', 'august', 'includ', 'red', 'robin', 'rough', 'control', 'remix', ':)']",here' teaser upcom airec 009 releas acid mous ep 31st august includ red robin rough control remix :)
@gurmeetramrahim #mypapamypride #ourdaughtersourpride your love n encourage changing the life of everyone :),1.0,"['mypapamyprid', 'ourdaughtersourprid', 'love', 'n', 'encourag', 'chang', 'life', 'everyon', ':)']",mypapamyprid ourdaughtersourprid love n encourag chang life everyon :)
@garykeywood @diy_oe @travelshopgirl @2wksincr @constantramble @bizarreglobehop happy friday all and thanks for the recent rts &amp; faves! :),1.0,"['happi', 'friday', 'thank', 'recent', 'rt', 'fave', ':)']",happi friday thank recent rt fave :)
toss ladies! :)) @mulanbilqis @nk_asmita,1.0,"['toss', 'ladi', ':)']",toss ladi :)
@theuwagapies @sharlainjapan welcome🐑 :),1.0,"['welcom', '🐑', ':)']",welcom 🐑 :)
@monicaterryem i'll have a look in the library and book stores first anyway! :),1.0,"[""i'll"", 'look', 'librari', 'book', 'store', 'first', 'anyway', ':)']",i'll look librari book store first anyway :)
@mizzchuff mr2 climbed up to give me a cuddle. :),1.0,"['mr2', 'climb', 'give', 'cuddl', ':)']",mr2 climb give cuddl :)
#jilla decent opening &amp; reviews :)),1.0,"['jilla', 'decent', 'open', 'review', ':)']",jilla decent open review :)
@norafrost the @therevnate is headlining in 2017 :),1.0,"['headlin', '2017', ':)']",headlin 2017 :)
jumma mubarik to all of you :) stay happy and blessed :),1.0,"['jumma', 'mubarik', ':)', 'stay', 'happi', 'bless', ':)']",jumma mubarik :) stay happi bless :)
@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  i spent a half hour total on this.:-),1.0,"['spent', 'half', 'hour', 'total', ':-)']",spent half hour total :-)
such a great news! congratz guys! :) https://t.co/zhq6qqqriz,1.0,"['great', 'news', 'congratz', 'guy', ':)']",great news congratz guy :)
good night :) http://t.co/6jdsbtsek5,1.0,"['good', 'night', ':)']",good night :)
@mikeyygee_562 @thatdudegalvan_ atleast you honest .. still get the bitches tho :),1.0,"['atleast', 'honest', '..', 'still', 'get', 'bitch', 'tho', ':)']",atleast honest .. still get bitch tho :)
@blessings2050 thanks for your contribution and kind comment! :-),1.0,"['thank', 'contribut', 'kind', 'comment', ':-)']",thank contribut kind comment :-)
"there is an earth 2.0...
yuppiieee
:)
#alienthought
#happyalien",1.0,"['earth', '2.0', '...', 'yuppiiee', ':)', 'alienthought', 'happyalien']",earth 2.0 ... yuppiiee :) alienthought happyalien
@hanpdf like me :),1.0,"['like', ':)']",like :)
@lorainekateyumi  follow @jnlazts &amp; http://t.co/rcvcyyo0iq follow u back :),1.0,['follow'],follow
i love it how you tell every crowd that they're the loudest. we all are the loudest fans in the world aren't we? :) x @real_liam_payne,1.0,"['love', 'tell', 'everi', 'crowd', ""they'r"", 'loudest', 'loudest', 'fan', 'world', ':)', 'x']",love tell everi crowd they'r loudest loudest fan world :) x
"@amerz ah, the memories. :)",1.0,"['ah', 'memori', ':)']",ah memori :)
"@gazza2209 hi gary!did you have a particular attraction in mind? and a travel date? i can pass your q onto our supprt team :-) thanks, ellie",1.0,"['hi', 'gari', 'particular', 'attract', 'mind', 'travel', 'date', 'pass', 'q', 'onto', 'supprt', 'team', ':-)', 'thank', 'elli']",hi gari particular attract mind travel date pass q onto supprt team :-) thank elli
@britishankles fback? :),1.0,"['fback', ':)']",fback :)
@the_zyrophobia they do call me the savage god :p,1.0,"['call', 'savag', 'god', ':p']",call savag god :p
no he is junior 2 me :p https://t.co/v4jk5hsid1,1.0,"['junior', '2', ':p']",junior 2 :p
@vladimir_eshop @vladimirbank thanks :),1.0,"['thank', ':)']",thank :)
"to cleanse the scam ridden body vyapam going to be renamed.
what an idea!!! :d:d",1.0,"['cleans', 'scam', 'ridden', 'bodi', 'vyapam', 'go', 'renam', 'idea', ':d', ':d']",cleans scam ridden bodi vyapam go renam idea :d :d
@tobyjwilkinson i'm pleased to hear :) - sarah,1.0,"[""i'm"", 'pleas', 'hear', ':)', 'sarah']",i'm pleas hear :) sarah
@valleyallblack hello hello :) *waves from d couch*,1.0,"['hello', 'hello', ':)', 'wave', 'couch']",hello hello :) wave couch
@waterfordtio thanks to the team for the retweet! :-),1.0,"['thank', 'team', 'retweet', ':-)']",thank team retweet :-)
@ironmima @fruitpreserve okay :),1.0,"['okay', ':)']",okay :)
@louiseminchin @phase_eight ohhh well i was wondering :d x,1.0,"['ohhh', 'well', 'wonder', ':d', 'x']",ohhh well wonder :d x
@novocainecolby completely dodged the explanation opportunity because you have no explanation. thanks for proving my point. grow up :-)),1.0,"['complet', 'dodg', 'explan', 'opportun', 'explan', 'thank', 'prove', 'point', 'grow', ':-)']",complet dodg explan opportun explan thank prove point grow :-)
@sanza_t @leratotmohale does the bag do the job sanza?  :-),1.0,"['bag', 'job', 'sanza', ':-)']",bag job sanza :-)
@mcjen thank you :-),1.0,"['thank', ':-)']",thank :-)
@mrmearsdt @kerry_truman @kitronik. check out http://t.co/tuncuxxixx; other places available :-). coloured aggregates work but tend to fade.,1.0,['check'],check
@sistards93 sore yaa slr som :),1.0,"['sore', 'yaa', 'slr', 'som', ':)']",sore yaa slr som :)
@jitenkumargupta thanks for the sharing the article :) @thebetterindia,1.0,"['thank', 'share', 'articl', ':)']",thank share articl :)
@lalochezic @paulwiggins i'm honoured :d,1.0,"[""i'm"", 'honour', ':d']",i'm honour :d
@abcderza im following you too hehehe :),1.0,"['im', 'follow', 'heheh', ':)']",im follow heheh :)
@dmc1982nice at least there's a view of the hills :),1.0,"['least', ""there'"", 'view', 'hill', ':)']",least there' view hill :)
@laineyni @s_geary1 @susie22784334 @sharont2501 @britvix @vanessaclark11 @wils21568249 @wolfenskjerven same to you and everyone else.:-) xx,1.0,"['everyon', 'els', ':-)', 'xx']",everyon els :-) xx
@thebookwormbaby thank you! that's very kind.  i just finished working on more little explorers books btw which will be out next year.. :),1.0,"['thank', ""that'"", 'kind', 'finish', 'work', 'littl', 'explor', 'book', 'btw', 'next', 'year', '..', ':)']",thank that' kind finish work littl explor book btw next year .. :)
"our national bird in wayanadan forests.. :)
#wayanad

photo: srijith v
visit his website - http://t.co/ase1uj9byb http://t.co/rnqp0i8gks",1.0,"['nation', 'bird', 'wayanadan', 'forest', '..', ':)', 'wayanad', 'photo', 'srijith', 'v', 'visit', 'websit']",nation bird wayanadan forest .. :) wayanad photo srijith v visit websit
"i've whispered to myself ""today is the day"" four times this week and i'm still lying in bed laying pokemon :))))",1.0,"[""i'v"", 'whisper', 'today', 'day', 'four', 'time', 'week', ""i'm"", 'still', 'lie', 'bed', 'lay', 'pokemon', ':)']",i'v whisper today day four time week i'm still lie bed lay pokemon :)
@officialkeanu..awesome! :),1.0,"['..', 'awesom', ':)']",.. awesom :)
@520f6ed5dd4c4d3  follow @jnlazts &amp; http://t.co/rcvcyyo0iq follow u back :),1.0,['follow'],follow
"@bhaktisbanter  #flipkartfashionfriday

hey dazzle urself with this double flared red and black dress :)

http://t.co/ri8csxz6uq",1.0,"['flipkartfashionfriday', 'hey', 'dazzl', 'urself', 'doubl', 'flare', 'red', 'black', 'dress', ':)']",flipkartfashionfriday hey dazzl urself doubl flare red black dress :)
@stuck_for_ideas thanks for the shout out guys :),1.0,"['thank', 'shout', 'guy', ':)']",thank shout guy :)
"in this last 9 hours, our channel has got 51 views, that`s so incredible, thanks so much! :)",1.0,"['last', '9', 'hour', 'channel', 'got', '51', 'view', 'incred', 'thank', 'much', ':)']",last 9 hour channel got 51 view incred thank much :)
browse our funny facts if you are bored :) http://t.co/6wlyqmj2nl,1.0,"['brows', 'funni', 'fact', 'bore', ':)']",brows funni fact bore :)
"hey @gogirlsmusic would you help me share my project ""becoming a female tour manager"" http://t.co/d3afrhhgp6 :)",1.0,"['hey', 'would', 'help', 'share', 'project', 'becom', 'femal', 'tour', 'manag']",hey would help share project becom femal tour manag
@totalpolicing we won't delve in to that here :),1.0,"['delv', ':)']",delv :)
"@jiaqiwoo 
thank you so muchhh :) see u tmr maybe ?",1.0,"['thank', 'muchhh', ':)', 'see', 'u', 'tmr', 'mayb']",thank muchhh :) see u tmr mayb
"well, this was an interesting breakfast… back to our holidays now :)",1.0,"['well', 'interest', 'breakfast', '…', 'back', 'holiday', ':)']",well interest breakfast … back holiday :)
"@therainbro also, gl for tonight's show! :d",1.0,"['also', 'gl', ""tonight'"", 'show', ':d']",also gl tonight' show :d
u can always count on alice to make u feel better when ur ill :))):):) http://t.co/jymvsldfqx,1.0,"['u', 'alway', 'count', 'alic', 'make', 'u', 'feel', 'better', 'ur', 'ill', ':)', '):', '):']",u alway count alic make u feel better ur ill :) ): ):
@sr15blty sore litey :p,1.0,"['sore', 'litey', ':p']",sore litey :p
"""@manuellatchgn: goodbye twitter. i will not be there for a long time. :)"" goodbye manuella",1.0,"['goodby', 'twitter', 'long', 'time', ':)', 'goodby', 'manuella']",goodby twitter long time :) goodby manuella
@myabumygod @ianadritaranbir maine abhi tak ye movie nhi dekhi but promos se hi i knew that it's his best movie till date :),1.0,"['main', 'abhi', 'tak', 'ye', 'movi', 'nhi', 'dekhi', 'promo', 'se', 'hi', 'knew', 'best', 'movi', 'till', 'date', ':)']",main abhi tak ye movi nhi dekhi promo se hi knew best movi till date :)
@mhdzhdawr you're most welcomed! we look forward to welcoming you to xpax ;) have a lovely friday! :),1.0,"['welcom', 'look', 'forward', 'welcom', 'xpax', ';)', 'love', 'friday', ':)']",welcom look forward welcom xpax ;) love friday :)
@sundawnjh fback? :),1.0,"['fback', ':)']",fback :)
@goldennotebook @johnemichel @kellyalovell thanks lisa :),1.0,"['thank', 'lisa', ':)']",thank lisa :)
@babagby thanks. i appreciate :),1.0,"['thank', 'appreci', ':)']",thank appreci :)
@matttreby welcome aboard matt! thanks for the feedback :),1.0,"['welcom', 'aboard', 'matt', 'thank', 'feedback', ':)']",welcom aboard matt thank feedback :)
"@michael37311757 @royjohnwatts @lbc @darrenadam i can blog a story about the institution, i'm in france :)",1.0,"['blog', 'stori', 'institut', ""i'm"", 'franc', ':)']",blog stori institut i'm franc :)
#ff @raj_poot_  follow him nc guy :-),1.0,"['ff', 'follow', 'nc', 'guy', ':-)']",ff follow nc guy :-)
solo 7 cheese overload pizza • mcfloat • hot fudge sandae &amp; munchkins of d'd ♥ atm :)),1.0,"['solo', '7', 'chees', 'overload', 'pizza', '•', 'mcfloat', '•', 'hot', 'fudg', 'sanda', 'munchkin', ""d'd"", '♥', 'atm', ':)']",solo 7 chees overload pizza • mcfloat • hot fudg sanda munchkin d'd ♥ atm :)
@alxzndr19 oh hey granny :d how are you.,1.0,"['oh', 'hey', 'granni', ':d']",oh hey granni :d
"cant wait to get my baller g lil faded chain :)
what everybody ought to know",1.0,"['cant', 'wait', 'get', 'baller', 'g', 'lil', 'fade', 'chain', ':)', 'everybodi', 'ought', 'know']",cant wait get baller g lil fade chain :) everybodi ought know
"@jayhorwell hi jay, if you haven't received it yet please email our events team at events@breastcancernow.org and they'll sort it :)",1.0,"['hi', 'jay', 'receiv', 'yet', 'pleas', 'email', 'event', 'team', 'events@breastcancernow.org', ""they'll"", 'sort', ':)']",hi jay receiv yet pleas email event team events@breastcancernow.org they'll sort :)
"hi @stefaniescott i hope you're having a great time full of happiness :)
i love you ...79x",1.0,"['hi', 'hope', 'great', 'time', 'full', 'happi', ':)', 'love', '...', '79x']",hi hope great time full happi :) love ... 79x
@heyitstrisha01  follow @jnlazts &amp; http://t.co/rcvcyyo0iq follow u back :),1.0,['follow'],follow
breakfast for champions :) http://t.co/zhyobmnkwr,1.0,"['breakfast', 'champion', ':)']",breakfast champion :)
@raydio2 you might like this :)  https://t.co/cumo6eyiyq,1.0,"['might', 'like', ':)']",might like :)
@jaynehh_ you just need a job and get a letter from your work place saying you work there and a letter from your parents approving :-),1.0,"['need', 'job', 'get', 'letter', 'work', 'place', 'say', 'work', 'letter', 'parent', 'approv', ':-)']",need job get letter work place say work letter parent approv :-)
you are unique. :) http://t.co/cy5cbhoevq,1.0,"['uniqu', ':)']",uniqu :)
@dafruk1 i sent to both to try and make sure to catch you :-),1.0,"['sent', 'tri', 'make', 'sure', 'catch', ':-)']",sent tri make sure catch :-)
"""@nyesekkinn: don't be affaraid, i'll be there for you :)""",1.0,"['affaraid', ""i'll"", ':)']",affaraid i'll :)
#dearslim you did not play the role of billy hope but you would have liked to play the role of another character? :) @eminem,1.0,"['dearslim', 'play', 'role', 'billi', 'hope', 'would', 'like', 'play', 'role', 'anoth', 'charact', ':)']",dearslim play role billi hope would like play role anoth charact :)
"@runabove sad to see you become ""labs"" and your place will take ovh. nothing against ovh but their support suck so much :-)",1.0,"['sad', 'see', 'becom', 'lab', 'place', 'take', 'ovh', 'noth', 'ovh', 'support', 'suck', 'much', ':-)']",sad see becom lab place take ovh noth ovh support suck much :-)
"@bhaktisbanter this lovely black &amp; red maxi dress :) 
#flipkartfashionfriday http://t.co/anubjzs98p",1.0,"['love', 'black', 'red', 'maxi', 'dress', ':)', 'flipkartfashionfriday']",love black red maxi dress :) flipkartfashionfriday
"i follow bunch of acc. just now .
hope they follow me back :)",1.0,"['follow', 'bunch', 'acc', 'hope', 'follow', 'back', ':)']",follow bunch acc hope follow back :)
he's really on his way guys :-) https://t.co/yyouekgcfm,1.0,"[""he'"", 'realli', 'way', 'guy', ':-)']",he' realli way guy :-)
hey @kaineofoeme have fun today :) wish i could be there but i'll be there in sprit! @wearemiclowry love yous,1.0,"['hey', 'fun', 'today', ':)', 'wish', 'could', ""i'll"", 'sprit', 'love', 'you']",hey fun today :) wish could i'll sprit love you
"3 days til i start work, getting quite excited now :)",1.0,"['3', 'day', 'til', 'start', 'work', 'get', 'quit', 'excit', ':)']",3 day til start work get quit excit :)
@oriofashes @cityofashes you guys were great last night :) http://t.co/3s3xf5q21n,1.0,"['guy', 'great', 'last', 'night', ':)']",guy great last night :)
@boom_cycle hi! would you like an @impastel concert? let me know your city and country and i'll start working on it! thanks :),1.0,"['hi', 'would', 'like', 'concert', 'let', 'know', 'citi', 'countri', ""i'll"", 'start', 'work', 'thank', ':)']",hi would like concert let know citi countri i'll start work thank :)
"yes! a very big yes, finally got home from this severe rain thanks @sgtnicolai1 :)",1.0,"['ye', 'big', 'ye', 'final', 'got', 'home', 'sever', 'rain', 'thank', ':)']",ye big ye final got home sever rain thank :)
@rsilver710 i love you and miss those hammies thank you :),1.0,"['love', 'miss', 'hammi', 'thank', ':)']",love miss hammi thank :)
"@pedro7241cw @xolanimvulana good! and even better to ""see you around"" :)
yep. it's the only way to live.
#freedom from #pistols
good move.",1.0,"['good', 'even', 'better', 'see', 'around', ':)', 'yep', 'way', 'live', 'freedom', 'pistol', 'good', 'move']",good even better see around :) yep way live freedom pistol good move
"find myself quite cool as i unlocked #bemeapp by myself :)
@caseyneistat thumbs up 4 what u do! #beme figured out my #bemecode #proudtobeme",1.0,"['find', 'quit', 'cool', 'unlock', 'bemeapp', ':)', 'thumb', '4', 'u', 'beme', 'figur', 'bemecod', 'proudtobem']",find quit cool unlock bemeapp :) thumb 4 u beme figur bemecod proudtobem
@orbette see you there. i'll get the first round. :-),1.0,"['see', ""i'll"", 'get', 'first', 'round', ':-)']",see i'll get first round :-)
"@lachdog_au @posica all good, thanks anyway :)",1.0,"['good', 'thank', 'anyway', ':)']",good thank anyway :)
keep calm and stay kepo :) :d,1.0,"['keep', 'calm', 'stay', 'kepo', ':)', ':d']",keep calm stay kepo :) :d
"@aidanmcglynn haha! almost certainly true, for all names. :)",1.0,"['haha', 'almost', 'certainli', 'true', 'name', ':)']",haha almost certainli true name :)
@matt_dominguez appreciate the follow :) have you heard of our botanical soaps? :),1.0,"['appreci', 'follow', ':)', 'heard', 'botan', 'soap', ':)']",appreci follow :) heard botan soap :)
no look :),1.0,"['look', ':)']",look :)
@ayashiibaby  follow @jnlazts &amp; http://t.co/rcvcyyo0iq follow u back :),1.0,['follow'],follow
@andrew_spence thanks again! hope you're having a great friday morning so far :),1.0,"['thank', 'hope', 'great', 'friday', 'morn', 'far', ':)']",thank hope great friday morn far :)
@markolauhiala luckily that is just one out of many! :),1.0,"['luckili', 'one', 'mani', ':)']",luckili one mani :)
@nattan23 hahahaha i remember it so clearly :p,1.0,"['hahahaha', 'rememb', 'clearli', ':p']",hahahaha rememb clearli :p
"oh i get it now. second quote tweet, but maybe could i please have a louis dm, :) please, if you can.  https://t.co/olfic333yr",1.0,"['oh', 'get', 'second', 'quot', 'tweet', 'mayb', 'could', 'pleas', 'loui', 'dm', ':)', 'pleas']",oh get second quot tweet mayb could pleas loui dm :) pleas
"@alamihasson #دعمم للعودة للحياة, heiyo, visit my website for free 50.000 coins in 8 ball pool now! thanks :d",1.0,"['دعمم', 'للعودة', 'للحياة', 'heiyo', 'visit', 'websit', 'free', '50.000', 'coin', '8', 'ball', 'pool', 'thank', ':d']",دعمم للعودة للحياة heiyo visit websit free 50.000 coin 8 ball pool thank :d
"dudaftie...:-)

#breaktym",1.0,"['dudafti', '...', ':-)', 'breaktym']",dudafti ... :-) breaktym
@marianela707 @theohurts it is not fatal but more dangerous in terms of health :) i don't understand why everyone is so outraged xd,1.0,"['fatal', 'danger', 'term', 'health', ':)', 'understand', 'everyon', 'outrag', 'xd']",fatal danger term health :) understand everyon outrag xd
"almost 645k views. watch muna while waiting na magstart ang twitter party. :)
salute! → https://t.co/jqgcpexdql",1.0,"['almost', '645k', 'view', 'watch', 'muna', 'wait', 'na', 'magstart', 'ang', 'twitter', 'parti', ':)', 'salut', '→']",almost 645k view watch muna wait na magstart ang twitter parti :) salut →
thq a lot for ur continous support @actor_jayamravi to thalaivar @dhanushkraja bro:):):),1.0,"['thq', 'lot', 'ur', 'contin', 'support', 'thalaivar', 'bro', ':)', ':)', ':)']",thq lot ur contin support thalaivar bro :) :) :)
"@uptownctw p£t£, heiya, visit my site if u wanna grab a free 30.000 8 ball pool coins. thank you :)",1.0,"['p', '£', '£', 'heiya', 'visit', 'site', 'u', 'wanna', 'grab', 'free', '30.000', '8', 'ball', 'pool', 'coin', 'thank', ':)']",p £ £ heiya visit site u wanna grab free 30.000 8 ball pool coin thank :)
@mallynic @gspaepen @jett_uk @ghostoftrafford @fd_manutdnews @cantona_20 @risingtrend @rosacrowee ty :)) av gd wknd u n all in tweet \m/,1.0,"['ty', ':)', 'av', 'gd', 'wknd', 'u', 'n', 'tweet']",ty :) av gd wknd u n tweet
@queenbiankee hehe :-) (smiling from ear to ear- me) :-d,1.0,"['hehe', ':-)', 'smile', 'ear', 'ear', ':-d']",hehe :-) smile ear ear :-d
@dutchm882 morning my friend :) yesss thats just the way we roll ;))) here on #cam4,1.0,"['morn', 'friend', ':)', 'yesss', 'that', 'way', 'roll', ';)', 'cam', '4']",morn friend :) yesss that way roll ;) cam 4
watched the match till late night y'day.. :d https://t.co/zhhzozhben,1.0,"['watch', 'match', 'till', 'late', 'night', ""y'day"", '..', ':d']",watch match till late night y'day .. :d
@guillaume351 if its full is because you did a really great job! congrats :),1.0,"['full', 'realli', 'great', 'job', 'congrat', ':)']",full realli great job congrat :)
i cant watch hxh in this place besides youtube vids like 'top 10 badass killua scenes :)' im suffering,1.0,"['cant', 'watch', 'hxh', 'place', 'besid', 'youtub', 'vid', 'like', 'top', '10', 'badass', 'killua', 'scene', ':)', 'im', 'suffer']",cant watch hxh place besid youtub vid like top 10 badass killua scene :) im suffer
i'm appreciating my body for what it does and feeding it what it needs :-),1.0,"[""i'm"", 'appreci', 'bodi', 'feed', 'need', ':-)']",i'm appreci bodi feed need :-)
"@1dfamily_d check our final design, hope you like it :) https://t.co/ext098yq1b",1.0,"['check', 'final', 'design', 'hope', 'like', ':)']",check final design hope like :)
"hi @stefaniescott i hope you're having a great time full of happiness :)
i love you ...78x",1.0,"['hi', 'hope', 'great', 'time', 'full', 'happi', ':)', 'love', '...', '78x']",hi hope great time full happi :) love ... 78x
hope you will like it ;) #jabongatpumaurbanstampede @jabongindia http://t.co/tb34wiracs hope you're noticing my efforts :d,1.0,"['hope', 'like', ';)', 'jabongatpumaurbanstamped']",hope like ;) jabongatpumaurbanstamped
kind words never go unappreciated (this is even mentioned on our site :) ). a very gracious thank you for your feedback @maltibhojwani,1.0,"['kind', 'word', 'never', 'go', 'unappreci', 'even', 'mention', 'site', ':)', 'graciou', 'thank', 'feedback']",kind word never go unappreci even mention site :) graciou thank feedback
@httpsguitarist fback? :),1.0,"['fback', ':)']",fback :)
"@deltsoulman @johnvignocchi @allisonpetrek yeah, i'm pretty proud of myself :d #nailedit #ourdisneyinfinity",1.0,"['yeah', ""i'm"", 'pretti', 'proud', ':d', 'nailedit', 'ourdisneyinfin']",yeah i'm pretti proud :d nailedit ourdisneyinfin
@dracan hope you had a lovely sleep! :)  -mary,1.0,"['hope', 'love', 'sleep', ':)', 'mari']",hope love sleep :) mari
@nicoledyosa1  follow @jnlazts &amp; http://t.co/rcvcyyo0iq follow u back :),1.0,['follow'],follow
my snapchat - jillmill19 #snapchat #kikmeboys #hot #webcam #teens #elfindelmundo #sexi :) http://t.co/hfyieohqzv,1.0,"['snapchat', 'jillmil', '19', 'snapchat', 'kikmeboy', 'hot', 'webcam', 'teen', 'elfindelmundo', 'sexi', ':)']",snapchat jillmil 19 snapchat kikmeboy hot webcam teen elfindelmundo sexi :)
@amy14_x @astonmerrygold will do :d it's mainly my mother who wants it right now haha the others can wait they said 😂 x,1.0,"[':d', 'mainli', 'mother', 'want', 'right', 'haha', 'other', 'wait', 'said', '😂', 'x']",:d mainli mother want right haha other wait said 😂 x
don't even think about it :))),1.0,"['even', 'think', ':)']",even think :)
"@michaelmoor_mt you are most welcome michael, do me a favour &amp; have yourself a #dancetastic day :-)",1.0,"['welcom', 'michael', 'favour', 'dancetast', 'day', ':-)']",welcom michael favour dancetast day :-)
"@kaushikcbasu @karunanundy its a perfect satyajit ray's movie 'porosh pathor' situation
#goldbugs run for cover :-)) https://t.co/hk0rmizpr4",1.0,"['perfect', 'satyajit', ""ray'"", 'movi', 'porosh', 'pathor', 'situat', 'goldbug', 'run', 'cover', ':-)']",perfect satyajit ray' movi porosh pathor situat goldbug run cover :-)
only i would drop 10 wine bottles &amp; spill some of the wine all over myself @ work :-),1.0,"['would', 'drop', '10', 'wine', 'bottl', 'spill', 'wine', 'work', ':-)']",would drop 10 wine bottl spill wine work :-)
"@jazminbonilla77 jazmin bonilla :), we share the latest secret on 15000 stars kim hollywood, check the only secret on my bio",1.0,"['jazmin', 'bonilla', ':)', 'share', 'latest', 'secret', '15000', 'star', 'kim', 'hollywood', 'check', 'secret', 'bio']",jazmin bonilla :) share latest secret 15000 star kim hollywood check secret bio
@brigserman thanks for sharing! wishing you a wicked weekend :),1.0,"['thank', 'share', 'wish', 'wick', 'weekend', ':)']",thank share wish wick weekend :)
rofl! shades of grey - netsec edition :-) https://t.co/phpzraksgu,1.0,"['rofl', 'shade', 'grey', 'netsec', 'edit', ':-)']",rofl shade grey netsec edit :-)
let's enjoy this day! :),1.0,"[""let'"", 'enjoy', 'day', ':)']",let' enjoy day :)
@dayhwstoodstill oh will certainly be watching it anyway!! :d,1.0,"['oh', 'certainli', 'watch', 'anyway', ':d']",oh certainli watch anyway :d
@reginevalcasid hi ate.  :),1.0,"['hi', 'ate', ':)']",hi ate :)
stats for the day have arrived. 1 new follower and no unfollowers :) via http://t.co/wlsz27qizk.,1.0,"['stat', 'day', 'arriv', '1', 'new', 'follow', 'unfollow', ':)', 'via']",stat day arriv 1 new follow unfollow :) via
@kritters_ whenever we have another movie night :),1.0,"['whenev', 'anoth', 'movi', 'night', ':)']",whenev anoth movi night :)
@theroiceorven  follow @jnlazts &amp; http://t.co/rcvcyyo0iq follow u back :),1.0,['follow'],follow
@turquoiselwt fback? :),1.0,"['fback', ':)']",fback :)
@team_ne29 another amazing video kev :) we are so proud to have such wonderful support from such a wonderful person :) @daftasabrushcc,1.0,"['anoth', 'amaz', 'video', 'kev', ':)', 'proud', 'wonder', 'support', 'wonder', 'person', ':)']",anoth amaz video kev :) proud wonder support wonder person :)
been listening to these two  on repeat. :d @migzhaleco and @nefmedina_ more collab please? https://t.co/jrfjtdseqc,1.0,"['listen', 'two', 'repeat', ':d', 'collab', 'pleas']",listen two repeat :d collab pleas
i kinda wanna fangirl over not an apology again even tho i already fangirled a lot when i first heard it :d,1.0,"['kinda', 'wanna', 'fangirl', 'apolog', 'even', 'tho', 'alreadi', 'fangirl', 'lot', 'first', 'heard', ':d']",kinda wanna fangirl apolog even tho alreadi fangirl lot first heard :d
@culturetrip @foodtravellove yummy :d,1.0,"['yummi', ':d']",yummi :d
@vulturesdare why thank you kind sir :),1.0,"['thank', 'kind', 'sir', ':)']",thank kind sir :)
@_cruuzzy we are all good here. :) my sisters told me that they misses you.n,1.0,"['good', ':)', 'sister', 'told', 'miss', 'n']",good :) sister told miss n
remember that unlisted one where he had a hickey :))) http://t.co/xphswfukfv,1.0,"['rememb', 'unlist', 'one', 'hickey', ':)']",rememb unlist one hickey :)
so ready for the weekend. race track saturday and dads work picnic sunday then monday hocking hills with mamma :)))),1.0,"['readi', 'weekend', 'race', 'track', 'saturday', 'dad', 'work', 'picnic', 'sunday', 'monday', 'hock', 'hill', 'mamma', ':)']",readi weekend race track saturday dad work picnic sunday monday hock hill mamma :)
@somanygods human beings are not mere brain...u need a more holistic cosmovision...too narrow-minded :),1.0,"['human', 'be', 'mere', 'brain', '...', 'u', 'need', 'holist', 'cosmovis', '...', 'narrow-mind', ':)']",human be mere brain ... u need holist cosmovis ... narrow-mind :)
my phone isn't charging it's been at 1% forever :))),1.0,"['phone', 'charg', '1', 'forev', ':)']",phone charg 1 forev :)
"@prinsesandreya happy birthday, cess! :)",1.0,"['happi', 'birthday', 'cess', ':)']",happi birthday cess :)
"@alixharrow hi alix! thank you for connecting, i look forward to tweeting with you! have a great day :)",1.0,"['hi', 'alix', 'thank', 'connect', 'look', 'forward', 'tweet', 'great', 'day', ':)']",hi alix thank connect look forward tweet great day :)
@lucazi1214 @bearclxw_ @yomi_gaming im happy meeting anyone that wants to meet me. i'll even throw some quan tips your way.  :),1.0,"['im', 'happi', 'meet', 'anyon', 'want', 'meet', ""i'll"", 'even', 'throw', 'quan', 'tip', 'way', ':)']",im happi meet anyon want meet i'll even throw quan tip way :)
please :) stop :) shouting :) at :) me :),1.0,"['pleas', ':)', 'stop', ':)', 'shout', ':)', ':)', ':)']",pleas :) stop :) shout :) :) :)
surprise visit? naaahhh :d,1.0,"['surpris', 'visit', 'naaahhh', ':d']",surpris visit naaahhh :d
duh emesh :p https://t.co/ftiavocfll,1.0,"['duh', 'emesh', ':p']",duh emesh :p
@goldenpaulson thank you :),1.0,"['thank', ':)']",thank :)
good morning :),1.0,"['good', 'morn', ':)']",good morn :)
